species,year,season,prey.species,prey.sex,prey.age,prey.mass,prey.size,edible.biomass
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,juvenile,4.9,small,4.4
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
